2026-03-10 22:31:51 status installed libtasn1-6:amd64 4.20.0-2
2026-03-10 22:31:51 configure libngtcp2-16:amd64 1.11.0-1 <none>
2026-03-10 22:31:51 status unpacked libngtcp2-16:amd64 1.11.0-1
2026-03-10 22:31:51 status half-configured libngtcp2-16:amd64 1.11.0-1
2026-03-10 22:31:51 status installed libngtcp2-16:amd64 1.11.0-1
2026-03-10 22:31:51 configure libkrb5-3:amd64 1.21.3-5 <none>
2026-03-10 22:31:51 status unpacked libkrb5-3:amd64 1.21.3-5
2026-03-10 22:31:51 status half-configured libkrb5-3:amd64 1.21.3-5
2026-03-10 22:31:51 status installed libkrb5-3:amd64 1.21.3-5
2026-03-10 22:31:51 configure libssh2-1t64:amd64 1.11.1-1 <none>
2026-03-10 22:31:51 status unpacked libssh2-1t64:amd64 1.11.1-1
2026-03-10 22:31:51 status half-configured libssh2-1t64:amd64 1.11.1-1
2026-03-10 22:31:51 status installed libssh2-1t64:amd64 1.11.1-1
2026-03-10 22:31:51 configure openssl:amd64 3.5.4-1~deb13u2 <none>
2026-03-10 22:31:51 status unpacked openssl:amd64 3.5.4-1~deb13u2
2026-03-10 22:31:51 status half-configured openssl:amd64 3.5.4-1~deb13u2
2026-03-10 22:31:51 status installed openssl:amd64 3.5.4-1~deb13u2
2026-03-10 22:31:51 configure readline-common:all 8.2-6 <none>
2026-03-10 22:31:51 status unpacked readline-common:all 8.2-6
2026-03-10 22:31:51 status half-configured readline-common:all 8.2-6
2026-03-10 22:31:51 status installed readline-common:all 8.2-6
2026-03-10 22:31:51 configure libldap2:amd64 2.6.10+dfsg-1 <none>
2026-03-10 22:31:51 status unpacked libldap2:amd64 2.6.10+dfsg-1
2026-03-10 22:31:51 status half-configured libldap2:amd64 2.6.10+dfsg-1
2026-03-10 22:31:51 status installed libldap2:amd64 2.6.10+dfsg-1
2026-03-10 22:31:51 configure libidn2-0:amd64 2.3.8-2 <none>
2026-03-10 22:31:51 status unpacked libidn2-0:amd64 2.3.8-2
2026-03-10 22:31:51 status half-configured libidn2-0:amd64 2.3.8-2
2026-03-10 22:31:51 status installed libidn2-0:amd64 2.3.8-2
2026-03-10 22:31:51 configure ca-certificates:all 20250419 <none>
2026-03-10 22:31:51 status unpacked ca-certificates:all 20250419
2026-03-10 22:31:51 status half-configured ca-certificates:all 20250419
2026-03-10 22:31:52 status installed ca-certificates:all 20250419
2026-03-10 22:31:52 status triggers-pending ca-certificates:all 20250419
2026-03-10 22:31:52 configure libp11-kit0:amd64 0.25.5-3 <none>
2026-03-10 22:31:52 status unpacked libp11-kit0:amd64 0.25.5-3
2026-03-10 22:31:52 status half-configured libp11-kit0:amd64 0.25.5-3
2026-03-10 22:31:52 status installed libp11-kit0:amd64 0.25.5-3
2026-03-10 22:31:52 configure libgssapi-krb5-2:amd64 1.21.3-5 <none>
2026-03-10 22:31:52 status unpacked libgssapi-krb5-2:amd64 1.21.3-5
